journal year, journal position, references
1998, 668, 693
1996, 496, 467
2000, 136, 359
1997, 770, 345
1997, 554, 278
1997, 153, 260
1990, 198, 228
2000, 1268, 220
1998, 1118, 209
1997, 943, 194
1992, 254, 168
1997, 926, 167
2006, 708, 167
2002, 676, 165
2000, 550, 146
1996, 110, 143
1994, 509, 140
1997, 769, 138
1994, 591, 137
1999, 1255, 135
1998, 887, 130
1989, 192, 128
1999, 1178, 125
1994, 96, 122
1997, 272, 121
1998, 1014, 121
1998, 756, 119
1995, 163, 118
1995, 17, 118
1996, 775, 117
1999, 931, 112
1998, 1126, 111
2002, 1271, 111
1997, 679, 110
2000, 1041, 103
1994, 3, 102
1999, 778, 102
2001, 64, 99
2004, 959, 99
1997, 776, 98
1993, 127, 96
1988, 324, 96
1997, 471, 95
1994, 163, 94
2002, 1679, 92
1993, 646, 90
2000, 1037, 90
1999, 636, 89
2000, 1315, 87
1999, 360, 86
2002, 253, 86
1996, 189, 85
1997, 604, 82
2002, 984, 82
1994, 547, 81
1999, 95, 81
2000, 852, 81
2000, 1216, 81
1995, 654, 78
1999, 483, 77
1999, 802, 76
2000, 1104, 76
1997, 885, 75
1994, 627, 74
1997, 945, 74
2000, 489, 74
2004, 2135, 74
1997, 484, 73
2006, 1119, 73
1997, 348, 70
1997, 754, 69
1996, 703, 68
2010, 1228, 68
2006, 1217, 68
1990, 206, 67
2001, 298, 67
2011, 622, 66
2001, 1194, 66
1995, 515, 65
1997, 944, 65
2000, 552, 65
1991, 496, 64
1997, 1083, 64
1997, 661, 64
2000, 958, 64
2008, 1505, 64
2005, 1538, 64
1997, 882, 63
1996, 350, 62
2001, 459, 62
1997, 939, 61
1989, 178, 61
1995, 417, 61
2009, 1241, 61
2000, 948, 60
2000, 118, 60
2000, 1027, 60
1990, 464, 59
1995, 25, 59
1987, 123, 59
1997, 934, 59
2000, 718, 59
1998, 717, 59
2004, 2703, 59
2002, 2074, 59
1996, 402, 58
2003, 391, 58
2000, 306, 57
2002, 1673, 57
2003, 874, 57
1982, 210, 56
1991, 422, 56
1996, 561, 56
2009, 97, 56
1991, 425, 55
1994, 419, 55
1996, 113, 55
1997, 592, 55
1997, 883, 55
2000, 69, 54
2000, 1193, 54
2008, 1056, 54
1994, 2, 53
1991, 24, 53
1997, 752, 53
2000, 239, 53
2001, 1189, 53
1990, 504, 52
1999, 1256, 52
2003, 1302, 52
1991, 450, 51
1994, 368, 51
1991, 464, 51
1997, 741, 51
2000, 703, 51
2000, 816, 51
1999, 532, 51
2001, 27, 51
2003, 1188, 51
1983, 33, 50
1988, 132, 50
1995, 426, 50
1999, 485, 50
2000, 270, 50
2006, 1600, 50
1996, 647, 49
1998, 1063, 49
1995, 433, 48
1993, 50, 47
